City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
17,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
22,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Sur,OM,80.78,clear sky,22.5667,59.5289,Sur Plaza Hotel
42,Jalingo,NG,80.78,overcast clouds,8.8833,11.3667,Debright Motel
57,Manado,ID,88.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
66,Butaritari,KI,82.35,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
89,Banjar,ID,82.8,overcast clouds,-8.19,114.9675,The Hamsa Resort
99,Payakumbuh,ID,82.18,few clouds,-0.2202,100.6308,Dalimo Homestay
122,Yeppoon,AU,80.17,scattered clouds,-23.1333,150.7333,Villa Mar Colina
125,Kendari,ID,84.43,broken clouds,-3.945,122.4989,Hotel Wixel
130,Karratha,AU,85.62,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
131,Bitung,ID,88.65,scattered clouds,1.4451,125.1824,K2 Lembeh
132,Sibolga,ID,81.63,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
136,Hobyo,SO,80.31,clear sky,5.3505,48.5268,Iftin hotel hobyo
138,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
139,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
140,Faanui,PF,82.33,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
141,Labuhan,ID,81.48,overcast clouds,-6.8844,112.2051,DoubleFAG
155,Dingle,PH,84.54,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
162,Samarai,PG,82.69,overcast clouds,-10.6167,150.6667,Nuli Sapi
176,Emerald,AU,85.33,few clouds,-23.5333,148.1667,The Irish Village
188,Coffs Harbour,AU,80.13,broken clouds,-30.3,153.1333,Aquajet Motel
206,Vaitape,PF,82.29,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
208,Ternate,ID,83.98,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
209,Carnarvon,AU,82.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
223,Isangel,VU,85.08,broken clouds,-19.55,169.2667,Tanna Lodge
233,Miaray,PH,85.42,overcast clouds,7.5747,125.0444,Damuluan Residence
242,Kudahuvadhoo,MV,82.83,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
256,Kavaratti,IN,82.78,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
261,Barwadih,IN,82.45,clear sky,23.8333,84.1167,Forest Rest House
262,Kapoeta,SS,83.32,overcast clouds,4.7717,33.5903,Eastgate Hotel
282,Mahibadhoo,MV,82.83,scattered clouds,3.7833,72.9667,Omadhoo Inn
287,Kupang,ID,83.46,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
288,Tual,ID,82.38,broken clouds,-5.6667,132.75,Grand Vilia Hotel
292,Hithadhoo,MV,82.96,clear sky,-0.6,73.0833,Scoop Guest House
