City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severnyy,RU,50.677,36.5532,51.84,58,0,8.95,clear sky
1,Rikitea,PF,-23.1203,-134.9692,75.47,61,8,13.31,clear sky
2,Barrow,US,71.2906,-156.7887,-7.58,77,0,17.27,clear sky
3,Busselton,AU,-33.65,115.3333,81.27,50,85,9.91,overcast clouds
4,Gamba,GA,-2.65,10.0,74.26,92,100,5.41,overcast clouds
5,Hermanus,ZA,-34.4187,19.2345,59.81,73,94,14.29,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,38.59,84,29,4.61,scattered clouds
7,Itapirapua,BR,-15.8233,-50.6133,70.63,89,36,4.54,scattered clouds
8,Qui Nhon,VN,13.7667,109.2333,80.44,72,88,22.79,overcast clouds
9,Butaritari,KI,3.0707,172.7902,82.02,73,40,18.79,scattered clouds
10,Rawson,AR,-43.3002,-65.1023,65.34,26,20,17.07,few clouds
11,Mataura,NZ,-46.1927,168.8643,60.17,69,5,6.91,clear sky
12,Airai,TL,-8.9266,125.4092,75.78,46,17,1.99,few clouds
13,Leningradskiy,RU,69.3833,178.4167,1.0,93,100,7.96,overcast clouds
14,Dakar,SN,14.6937,-17.4441,67.08,84,43,12.5,scattered clouds
15,Kavaratti,IN,10.5669,72.642,82.89,72,98,7.25,overcast clouds
16,Whitehorse,CA,60.7161,-135.0538,25.11,80,100,5.99,overcast clouds
17,Dunedin,NZ,-45.8742,170.5036,63.81,63,0,5.99,clear sky
18,Narsaq,GL,60.9167,-46.05,48.42,77,99,2.26,overcast clouds
19,Bredasdorp,ZA,-34.5322,20.0403,63.37,65,100,11.27,overcast clouds
20,New Norfolk,AU,-42.7826,147.0587,58.91,59,61,4.0,broken clouds
21,Kutum,SD,14.2,24.6667,70.43,14,5,5.46,clear sky
22,Esperance,AU,-33.8667,121.9,77.68,48,11,7.67,few clouds
23,Georgetown,MY,5.4112,100.3354,89.55,70,20,5.01,few clouds
24,Ushuaia,AR,-54.8,-68.3,38.86,60,0,2.3,clear sky
25,Tiksi,RU,71.6872,128.8694,12.76,88,48,5.64,scattered clouds
26,Muros,ES,42.7762,-9.0603,35.17,92,8,7.58,clear sky
27,Albany,US,42.6001,-73.9662,35.76,66,73,5.99,broken clouds
28,Kuusamo,FI,65.9667,29.1833,15.84,67,0,8.05,clear sky
29,Kontagora,NG,10.3999,5.4695,78.03,58,100,5.57,overcast clouds
30,Saint-Philippe,RE,-21.3585,55.7679,76.59,92,100,15.59,moderate rain
31,Caravelas,BR,-17.7125,-39.2481,73.53,91,0,3.04,clear sky
32,Puno,PE,-15.8333,-70.0333,40.78,89,100,2.51,overcast clouds
33,Moerai,PF,-22.4333,-151.3333,80.62,67,55,10.07,broken clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,76.55,99,20,5.08,few clouds
35,Thompson,CA,55.7435,-97.8558,17.31,94,100,9.06,overcast clouds
36,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,94,100,7.47,overcast clouds
37,Poltavka,RU,54.3663,71.7632,32.45,100,100,3.83,overcast clouds
38,Vaini,TO,-21.2,-175.2,80.87,74,96,9.71,overcast clouds
39,Avarua,CK,-21.2078,-159.775,82.45,74,87,2.3,overcast clouds
40,Siavonga,ZM,-16.5382,28.7088,70.68,82,2,3.62,clear sky
41,San Cristobal,VE,7.7669,-72.225,68.23,79,46,1.52,scattered clouds
42,Khatanga,RU,71.9667,102.5,4.19,88,100,5.55,overcast clouds
43,Bethel,US,41.3712,-73.414,41.76,53,100,10.36,overcast clouds
44,Torbay,CA,47.6666,-52.7314,35.28,96,100,26.46,light rain
45,Rocha,UY,-34.4833,-54.3333,48.24,88,1,4.05,clear sky
46,Taltal,CL,-25.4,-70.4833,60.49,88,29,1.63,scattered clouds
47,Kapaa,US,22.0752,-159.319,78.78,96,100,20.71,light rain
48,Ancud,CL,-41.8697,-73.8203,55.22,91,67,9.91,broken clouds
49,Upernavik,GL,72.7868,-56.1549,9.45,95,100,10.31,overcast clouds
50,Yulara,AU,-25.2406,130.9889,79.63,20,100,8.23,overcast clouds
51,Cravo Norte,CO,6.3017,-70.2041,85.37,46,80,3.49,broken clouds
52,Port Alfred,ZA,-33.5906,26.891,60.19,96,100,1.01,overcast clouds
53,Kijini,TZ,-5.85,39.3167,80.55,79,40,4.27,scattered clouds
54,Hobart,AU,-42.8794,147.3294,59.25,72,75,18.41,broken clouds
55,Guerrero Negro,MX,27.9769,-114.0611,59.09,79,0,10.42,clear sky
56,Khani,GE,41.9563,42.9566,58.57,78,31,9.91,scattered clouds
57,Yinchuan,CN,38.4681,106.2731,52.95,16,0,2.57,clear sky
58,Cape Town,ZA,-33.9258,18.4232,64.11,70,5,5.01,clear sky
59,Aviles,ES,43.5547,-5.9248,43.38,85,40,5.75,scattered clouds
60,Banswara,IN,23.55,74.45,94.64,14,1,6.22,clear sky
61,Saint-Augustin,CA,51.226,-58.6502,30.4,97,100,25.86,snow
62,Ode,NG,7.7899,5.7117,73.62,92,100,8.46,overcast clouds
63,Hilo,US,19.7297,-155.09,71.33,90,100,3.44,light rain
