City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2022-03-29 05:29:32,-34.4187,19.2345,62.73,78,79,11.68
1,Lebu,CL,2022-03-29 05:29:33,-37.6167,-73.65,55.53,87,66,12.73
2,Rikitea,PF,2022-03-29 05:29:33,-23.1203,-134.9692,78.26,68,86,3.18
3,Basco,PH,2022-03-29 05:29:34,20.4487,121.9702,79.29,79,100,21.16
4,Busselton,AU,2022-03-29 05:29:34,-33.65,115.3333,78.31,55,98,15.14
5,Adre,TD,2022-03-29 05:29:34,13.4667,22.2,66.25,7,37,18.95
6,Hobart,AU,2022-03-29 05:29:35,-42.8794,147.3294,72.27,67,20,12.66
7,Cape Town,ZA,2022-03-29 05:29:35,-33.9258,18.4232,64.81,76,75,14.97
8,Albany,US,2022-03-29 05:25:34,42.6001,-73.9662,17.76,59,85,3.0
9,Kapaa,US,2022-03-29 05:29:12,22.0752,-159.319,73.72,82,40,11.5
10,Barrow,US,2022-03-29 05:25:02,71.2906,-156.7887,-2.18,78,0,23.02
11,Tual,ID,2022-03-29 05:29:37,-5.6667,132.75,81.39,76,100,11.77
12,Muros,ES,2022-03-29 05:29:37,42.7762,-9.0603,55.09,84,88,6.69
13,Tiksi,RU,2022-03-29 05:29:38,71.6872,128.8694,0.52,86,84,4.09
14,Bathsheba,BB,2022-03-29 05:29:38,13.2167,-59.5167,77.61,73,40,17.27
15,Quatre Cocos,MU,2022-03-29 05:29:38,-20.2078,57.7625,84.09,63,0,5.01
16,Amapa,BR,2022-03-29 05:29:39,1.0,-52.0,70.97,100,100,1.45
17,Punta Arenas,CL,2022-03-29 05:29:39,-53.15,-70.9167,39.31,81,0,11.5
18,Sobolevo,RU,2022-03-29 05:29:40,54.4299,31.8996,36.72,83,100,14.12
19,Sao Filipe,CV,2022-03-29 05:29:40,14.8961,-24.4956,70.21,74,0,10.29
20,Pevek,RU,2022-03-29 05:29:41,69.7008,170.3133,-8.84,90,23,1.3
21,Yellowknife,CA,2022-03-29 05:29:41,62.456,-114.3525,8.56,96,100,3.44
22,Khatanga,RU,2022-03-29 05:29:41,71.9667,102.5,1.31,88,100,8.77
23,Trat,TH,2022-03-29 05:29:42,12.5,102.5,89.8,54,78,2.75
24,Jamestown,US,2022-03-29 05:25:34,42.097,-79.2353,20.79,56,75,9.22
25,Cherskiy,RU,2022-03-29 05:29:42,68.75,161.3,5.43,85,67,6.31
26,Port Elizabeth,ZA,2022-03-29 05:29:43,-33.918,25.5701,70.32,84,84,3.42
27,Port Alfred,ZA,2022-03-29 05:29:43,-33.5906,26.891,73.98,66,15,3.18
28,Katsuura,JP,2022-03-29 05:29:44,35.1333,140.3,54.3,75,100,11.12
29,Kodiak,US,2022-03-29 05:29:44,57.79,-152.4072,36.91,87,100,3.44
30,Ushuaia,AR,2022-03-29 05:25:43,-54.8,-68.3,40.66,87,100,10.36
31,Murree,PK,2022-03-29 05:29:45,33.9073,73.393,67.24,14,1,2.35
32,Bonfim,BR,2022-03-29 05:29:45,3.0833,-59.95,77.2,73,74,9.91
33,Carballo,ES,2022-03-29 05:29:46,43.213,-8.691,54.01,89,99,0.54
34,Vao,NC,2022-03-29 05:29:46,-22.6667,167.4833,78.33,76,100,14.34
35,Ariquemes,BR,2022-03-29 05:29:47,-9.9133,-63.0408,72.64,99,98,0.13
36,Alexandria,EG,2022-03-29 05:27:45,31.2156,29.9553,53.56,66,0,5.75
37,Bilma,NE,2022-03-29 05:29:47,18.6853,12.9164,66.15,8,2,7.92
38,Touba,CI,2022-03-29 05:29:48,8.2833,-7.6833,74.97,67,96,4.12
39,Alpena,US,2022-03-29 05:29:48,45.0617,-83.4327,20.1,72,0,3.44
40,Erzin,TR,2022-03-29 05:29:49,36.9559,36.2,55.02,62,55,4.72
